Game_ID,Name,User_Rating
1,ws,9
9,nsmbw,2
3,mkw,8
6,tetris,10
8,wiiplay,7
11,nindogs,9
12,mkds,5
20,brage,6
21,pkmndp,10
27,pkmnbw,7
30,codmw3,8
32,codblops,8
33,pkmnxy,4
34,codblops3,5
35,codblops2,9
37,codmw2,9
40,ssbb,8
42,acww,10
44,halo3,8
49,smg1,8
50,oras,8
63,reach,2
66,halo4,0
67,ff7,7
68,ghosts,4
69,jd2,8
71,codmw,8
73,mc,9
75,mpds,6
76,skyrim,10
80,halo2,10
81,mp8,7
92,smg2,7
94,aw,5
102,blops3,4
111,mkdd,8
116,uchart3,9
120,uchart2,9
130,halo,8
132,kh1,8
134,odst,9
136,sms,9
138,wow,5
149,lbp,9
178,plcv,8
197,re5,6
210,pmdeot,8
211,uchart1,7
237,tlou,10
256,kh2,9
261,halo5,2
281,wd,8
287,cg,6
301,pldb,8
302,l4d2,7
320,mlbis,7
332,w3ww,7
337,bf4,7
364,007auf,8
388,lbp2,7
396,mgs5tpp,6
400,pluf,10
404,007nf,8
433,rh,9
436,ac,8
439,re6,7
440,hmcc,8
446,es4o,8
448,hr,2
449,me2,8
458,me3,3
479,ts4,6
481,sh,8
488,infamous,9
490,me1,7
512,cncra,6
516,bioshock,7
520,metp,9
539,infam2,6
551,cod3,6
579,hw,8
582,msc,8
594,kzsf,9
600,dao,7
608,si,6
613,tr,7
629,mcla,6
631,fft,7
633,hcea,7
680,ts3,8
686,007eon,5
689,ct,8
692,gw2,9
693,prsoa,8
704,bl2,7
728,sn,6
752,mlss,8
790,portal2,8
801,tetrisw,7
810,khbbs,7
830,kh358,9
859,dai,9
898,rf,8
920,sfa,8
927,tlod,9
930,lbp3,6
938,khcom,9
940,inf2,7
944,hyp,8
956,mp3,9
972,mc2,6
973,dqmj,7
977,jc2,6
988,m2ros,6
990,ssm,6
